EVENT_NUMBER,INCIDENT_DATE,INCIDENT_TYPE,LATITUDE,LONGITUDE,INCIDENT_YEAR,INCIDENT_MONTH,CITY,State
250103085,1/3/2025,unwant - unwanted person,37.914242,-122.305937,2025,Jan,El Cerrito,California
250104123,1/4/2025,unwant - unwanted person,37.92978716,-122.321342,2025,Jan,El Cerrito,California
250109366,1/9/2025,unwant - unwanted person,37.90049903,-122.2981904,2025,Jan,El Cerrito,California
250110081,1/10/2025,unwant - unwanted person,37.89957069,-122.2992431,2025,Jan,El Cerrito,California
250110212,1/10/2025,unwant - unwanted person,37.89930599,-122.300025,2025,Jan,El Cerrito,California
250111250,1/11/2025,unwant - unwanted person,37.9305826,-122.3216454,2025,Jan,El Cerrito,California
250115372,1/15/2025,unwant - unwanted person,37.914242,-122.305937,2025,Jan,El Cerrito,California
250118152,1/18/2025,unwant - unwanted person,37.90035914,-122.3005598,2025,Jan,El Cerrito,California
250128046,1/28/2025,unwant - unwanted person,37.9227459,-122.3156135,2025,Jan,El Cerrito,California
250204220,2/4/2025,unwant - unwanted person,37.90112197,-122.2985491,2025,Feb,El Cerrito,California
250207293,2/7/2025,unwant - unwanted person,37.89930599,-122.300025,2025,Feb,El Cerrito,California
250214126,2/14/2025,unwant - unwanted person,37.914242,-122.305937,2025,Feb,El Cerrito,California
250223221,2/23/2025,unwant - unwanted person,37.90112197,-122.2985491,2025,Feb,El Cerrito,California
250304160,3/4/2025,unwant - unwanted person,37.89934262,-122.3002802,2025,Mar,El Cerrito,California
250304300,3/4/2025,unwant - unwanted person,37.90112197,-122.2985491,2025,Mar,El Cerrito,California
250306023,3/6/2025,unwant - unwanted person,37.92760698,-122.320639,2025,Mar,El Cerrito,California
250307151,3/7/2025,unwant - unwanted person,37.92160299,-122.315721,2025,Mar,El Cerrito,California
250312287,3/12/2025,unwant - unwanted person,37.920053,-122.3149624,2025,Mar,El Cerrito,California
250315392,3/15/2025,unwant - unwanted person,37.914242,-122.305937,2025,Mar,El Cerrito,California
250328014,3/28/2025,unwant - unwanted person,37.91028943,-122.3045739,2025,Mar,El Cerrito,California
250330046,3/30/2025,unwant - unwanted person,37.91945902,-122.294169,2025,Mar,El Cerrito,California
250401328,4/1/2025,unwant - unwanted person,37.9227459,-122.3156135,2025,Apr,El Cerrito,California
250402358,4/2/2025,unwant - unwanted person,37.90112197,-122.2985491,2025,Apr,El Cerrito,California
250409221,4/9/2025,unwant - unwanted person,37.9281959,-122.3209303,2025,Apr,El Cerrito,California
250420252,4/20/2025,unwant - unwanted person,37.92589879,-122.3197482,2025,Apr,El Cerrito,California
250422067,4/22/2025,unwant - unwanted person,37.9281959,-122.3209303,2025,Apr,El Cerrito,California
250423424,4/23/2025,unwant - unwanted person,37.90267455,-122.304215,2025,Apr,El Cerrito,California
250423438,4/23/2025,unwant - unwanted person,37.90112197,-122.2985491,2025,Apr,El Cerrito,California
250429103,4/29/2025,unwant - unwanted person,37.92160299,-122.315721,2025,Apr,El Cerrito,California
250430322,4/30/2025,unwant - unwanted person,37.89970302,-122.2988135,2025,Apr,El Cerrito,California
250430453,4/30/2025,unwant - unwanted person,37.92160299,-122.315721,2025,Apr,El Cerrito,California
250505331,5/5/2025,unwant - unwanted person,37.90112197,-122.2985491,2025,May,El Cerrito,California
250505344,5/5/2025,unwant - unwanted person,37.90049903,-122.2981904,2025,May,El Cerrito,California
250509333,5/9/2025,unwant - unwanted person,37.90112197,-122.2985491,2025,May,El Cerrito,California
250518341,5/18/2025,unwant - unwanted person,37.92125602,-122.31504,2025,May,El Cerrito,California
250526200,5/26/2025,unwant - unwanted person,37.92125602,-122.31504,2025,May,El Cerrito,California
250603340,6/3/2025,unwant - unwanted person,37.90112197,-122.2985491,2025,Jun,El Cerrito,California
250607039,6/7/2025,unwant - unwanted person,37.925122,-122.31903,2025,Jun,El Cerrito,California
250608061,6/8/2025,unwant - unwanted person,37.9227459,-122.3156135,2025,Jun,El Cerrito,California
250611404,6/11/2025,unwant - unwanted person,37.89987998,-122.297942,2025,Jun,El Cerrito,California
250619259,6/19/2025,unwant - unwanted person,37.90060041,-122.2999752,2025,Jun,El Cerrito,California
250624369,6/24/2025,unwant - unwanted person,37.92160299,-122.315721,2025,Jun,El Cerrito,California
250626324,6/26/2025,unwant - unwanted person,37.90112197,-122.2985491,2025,Jun,El Cerrito,California
240720041,7/20/2024,unwant - unwanted person,37.92125602,-122.31504,2024,Jul,El Cerrito,California
240722155,7/22/2024,unwant - unwanted person,37.89944798,-122.302625,2024,Jul,El Cerrito,California
240723385,7/23/2024,unwant - unwanted person,37.925122,-122.31903,2024,Jul,El Cerrito,California
240725230,7/25/2024,unwant - unwanted person,37.91492312,-122.310988,2024,Jul,El Cerrito,California
240728024,7/28/2024,unwant - unwanted person,37.92125602,-122.31504,2024,Jul,El Cerrito,California
240808212,8/8/2024,unwant - unwanted person,37.90038371,-122.2998328,2024,Aug,El Cerrito,California
